row_id,source,headline,date_raw,published_date,date_parse_ok,date_defect,site_date_matches (fill by hand),notes (fill by hand)
assabah::48156,assabah,الاستماع إلى مدير التجهيز والنقل بأكادير,21 يناير 2014,2014-01-21,True,abs,,
assabah::12340,assabah,السراح لمستشار متهم بالنصب,23 مايو 2023,2023-05-23,True,abs,,
assabah::40678,assabah,مطاردة قارب بارون مخدرات بسلا,6 يونيو 2016,2016-06-06,True,abs,,
assabah::8537,assabah,محاكمة جديدة للرئيس السابق لمجي,23 مايو 2024,2024-05-23,True,abs,,
assabah::41440,assabah,60 سنة لقتلة موظف قطعوا جثته بتمارة,23 مارس 2016,2016-03-23,True,abs,,
assabah::19044,assabah,الإجهاض يطيح بممرض بأزرو,31 يوليو 2021,2021-07-31,True,abs,,
assabah::40590,assabah,الحبس لتلاميذ الباكلوريا بآسفي,16 يونيو 2016,2016-06-16,True,abs,,
assabah::36097,assabah,انتحار حارس مدرسة بصفرو,11 أغسطس 2017,2017-08-11,True,abs,,
assabah::35364,assabah,عصابة أفارقة تختطف الحالمين بالهجرة,19 أكتوبر 2017,2017-10-19,True,abs,,
assabah::24008,assabah,الحبس لمروج مخدرات بالشماعية,15 يونيو 2020,2020-06-15,True,abs,,
economist_tunisia_all::921,economist_tunisia_all,An apology to Rachid Ghannouchi,2011-10-22,2011-10-22,True,abs,,
economist_tunisia_all::321,economist_tunisia_all,China is innovative. Its economy is a mess. Which matters more?,2026-06-08,2026-06-08,True,abs,,
economist_tunisia_all::101,economist_tunisia_all,China should be loosening budgetary policy. It’s doing the opposite,2026-08-27,2026-08-27,True,abs,,
economist_tunisia_all::920,economist_tunisia_all,"Crescent moon, waning West",2011-10-29,2011-10-29,True,abs,,
economist_tunisia_all::58,economist_tunisia_all,America has a whopping debt. But Europe has the whopping debt problem,2026-09-03,2026-09-03,True,abs,,
economist_tunisia_all::790,economist_tunisia_all,Real life—on television,2014-07-19,2014-07-19,True,abs,,
economist_tunisia_all::948,economist_tunisia_all,After DSK,2011-06-09,2011-06-09,True,abs,,
economist_tunisia_all::969,economist_tunisia_all,It could be normal,2011-03-31,2011-03-31,True,abs,,
economist_tunisia_all::410,economist_tunisia_all,War is only the starkest way that politics is disrupting tourism,2026-03-19,2026-03-19,True,abs,,
economist_tunisia_all::1079,economist_tunisia_all,Doubling up,2009-02-17,2009-02-17,True,abs,,
